"No","Country","Year","PG","UG","Student"
1,Afghanistan,2008,2,2,4
2,Albania,2008,2,,2
3,Algeria,2008,12,,12
4,Antigua and Barbuda,2008,1,,1
5,Argentina,2008,7,3,10
6,Armenia,2008,1,,1
7,Australia,2008,142,41,183
8,Austria,2008,42,18,60
9,Azerbaijan,2008,1,,1
10,Bahrain,2008,2,2,4
11,Bangladesh,2008,20,2,22
12,Barbados,2008,1,2,3
13,Belarus,2008,6,3,9
14,Belgium,2008,26,18,44
15,Belize,2008,,1,1
16,Bhutan,2008,2,,2
17,Bolivia,2008,1,,1
18,Bosnia and Herzegovina,2008,2,1,3
19,Brazil,2008,34,2,36
20,Brunei,2008,2,5,7
21,Bulgaria,2008,9,10,19
22,Burma,2008,2,4,6
23,Cameroon,2008,5,,5
24,Canada,2008,208,49,257
25,Cayman Islands,2008,1,,1
26,Channel Islands Not Otherwise Specified,2008,,1,1
27,Chile,2008,24,,24
28,China,2008,447,353,800
29,Colombia,2008,5,1,6
30,Congo (Democratic Republic),2008,,1,1
31,Croatia,2008,9,2,11
32,Cyprus,2008,56,57,113
33,Czech Republic,2008,18,11,29
34,Denmark,2008,40,18,58
35,Ecuador,2008,1,,1
36,Egypt,2008,19,3,22
37,Estonia,2008,8,8,16
38,Ethiopia,2008,2,3,5
39,Finland,2008,20,20,40
40,France,2008,119,95,214
41,Georgia,2008,3,,3
42,Germany,2008,359,203,562
43,Ghana,2008,17,6,23
44,Greece,2008,143,22,165
45,Guyana,2008,2,,2
46,Honduras,2008,2,,2
47,Hong Kong (Special Administrative Region of China),2008,40,22,62
48,Hungary,2008,18,18,36
49,Iceland,2008,10,,10
50,India,2008,180,70,250
51,Indonesia,2008,6,4,10
52,Iran,2008,19,12,31
53,Iraq,2008,,1,1
54,Ireland,2008,126,87,213
55,Israel,2008,36,3,39
56,Italy,2008,160,30,190
57,Ivory Coast,2008,1,,1
58,Jamaica,2008,4,,4
59,Japan,2008,81,20,101
60,Jordan,2008,3,1,4
61,Kazakhstan,2008,2,6,8
62,Kenya,2008,10,8,18
63,Korea (South),2008,92,27,119
64,Kuwait,2008,1,,1
65,Kyrgyzstan,2008,1,1,2
66,Latvia,2008,7,10,17
67,Lebanon,2008,5,,5
68,Lithuania,2008,6,16,22
69,Luxembourg,2008,5,2,7
70,Macedonia,2008,4,1,5
71,Madagascar,2008,,1,1
72,Malawi,2008,1,,1
73,Malaysia,2008,83,147,230
74,Malta,2008,7,2,9
75,Mauritius,2008,3,7,10
76,Mexico,2008,47,2,49
77,Moldova,2008,1,1,2
78,Morocco,2008,,2,2
79,Namibia,2008,1,,1
80,Nepal,2008,7,,7
81,Netherlands,2008,53,27,80
82,New Zealand,2008,55,26,81
83,Nigeria,2008,17,9,26
84,Norway,2008,17,6,23
85,Oman,2008,1,1,2
86,Pakistan,2008,51,7,58
87,Papua New Guinea,2008,1,,1
88,Peru,2008,5,,5
89,Philippines,2008,7,,7
90,Poland,2008,43,36,79
91,Portugal,2008,71,19,90
92,Romania,2008,21,10,31
93,Russia,2008,41,35,76
94,Saudi Arabia,2008,5,,5
95,Serbia,2008,8,3,11
96,Singapore,2008,81,112,193
97,Slovakia,2008,3,7,10
98,Slovenia,2008,4,3,7
99,Somalia,2008,,4,4
100,South Africa,2008,65,11,76
101,Spain,2008,54,23,77
102,Sri Lanka,2008,28,23,51
103,St Lucia,2008,1,,1
104,Sudan,2008,8,1,9
105,Sweden,2008,24,33,57
106,Switzerland,2008,18,5,23
107,Syria,2008,4,1,5
108,Taiwan,2008,86,6,92
109,Thailand,2008,40,26,66
110,Trinidad and Tobago,2008,9,13,22
111,Turkey,2008,24,4,28
112,Uganda,2008,7,3,10
113,Ukraine,2008,15,16,31
114,United Arab Emirates,2008,2,,2
115,United States,2008,658,141,799
116,Uruguay,2008,3,1,4
117,Uzbekistan,2008,2,,2
118,Venezuela,2008,3,,3
119,Vietnam,2008,15,26,41
120,Zambia,2008,4,1,5
121,Zimbabwe,2008,12,4,16
122,Afghanistan,2009,,1,1
123,Albania,2009,4,1,5
124,Algeria,2009,11,,11
125,Antigua and Barbuda,2009,1,,1
126,Argentina,2009,10,2,12
127,Armenia,2009,4,,4
128,Australia,2009,173,44,217
129,Austria,2009,41,17,58
130,Azerbaijan,2009,2,,2
131,"Bahamas, The",2009,,1,1
132,Bahrain,2009,3,1,4
133,Bangladesh,2009,23,2,25
134,Barbados,2009,2,3,5
135,Belarus,2009,5,2,7
136,Belgium,2009,30,19,49
137,Belize,2009,,1,1
138,Bhutan,2009,1,,1
139,Bolivia,2009,2,,2
140,Bosnia and Herzegovina,2009,2,,2
141,Botswana,2009,1,,1
142,Brazil,2009,27,3,30
143,Brunei,2009,4,3,7
144,Bulgaria,2009,12,15,27
145,Burma,2009,1,1,2
146,Cambodia,2009,,1,1
147,Cameroon,2009,3,,3
148,Canada,2009,242,52,294
149,Cayman Islands,2009,1,,1
150,Channel Islands Not Otherwise Specified,2009,,1,1
151,Chile,2009,21,,21
152,China,2009,455,350,805
153,Colombia,2009,5,1,6
154,Congo (Democratic Republic),2009,,1,1
155,Costa Rica,2009,1,,1
156,Croatia,2009,11,3,14
157,Cyprus,2009,55,67,122
158,Czech Republic,2009,16,10,26
159,Denmark,2009,34,21,55
160,Ecuador,2009,1,,1
161,Egypt,2009,22,3,25
162,Estonia,2009,12,7,19
163,Ethiopia,2009,2,2,4
164,Finland,2009,17,22,39
165,France,2009,126,97,223
166,Germany,2009,367,224,591
167,Ghana,2009,15,3,18
168,Greece,2009,129,28,157
169,Guatemala,2009,1,,1
170,Guyana,2009,2,,2
171,Hong Kong (Special Administrative Region of China),2009,42,15,57
172,Hungary,2009,18,19,37
173,Iceland,2009,8,,8
174,India,2009,212,75,287
175,Indonesia,2009,5,2,7
176,Iran,2009,27,9,36
177,Iraq,2009,1,2,3
178,Ireland,2009,135,94,229
179,Isle of Man,2009,1,,1
180,Israel,2009,34,2,36
181,Italy,2009,166,43,209
182,Jamaica,2009,3,2,5
183,Japan,2009,68,30,98
184,Jordan,2009,2,1,3
185,Kazakhstan,2009,2,7,9
186,Kenya,2009,13,8,21
187,Korea (North),2009,1,,1
188,Korea (South),2009,88,24,112
189,Kuwait,2009,2,,2
190,Kyrgyzstan,2009,,1,1
191,Latvia,2009,8,10,18
192,Lebanon,2009,5,,5
193,Lithuania,2009,11,21,32
194,Luxembourg,2009,6,2,8
195,Macedonia,2009,6,,6
196,Malawi,2009,3,1,4
197,Malaysia,2009,87,138,225
198,Maldives,2009,1,,1
199,Malta,2009,7,2,9
200,Mauritius,2009,1,8,9
201,Mexico,2009,47,3,50
202,Moldova,2009,,3,3
203,Mongolia,2009,2,,2
204,Morocco,2009,,1,1
205,Nepal,2009,7,,7
206,Netherlands,2009,58,35,93
207,New Zealand,2009,54,20,74
208,Nigeria,2009,23,9,32
209,Norway,2009,20,7,27
210,Oman,2009,1,1,2
211,Pakistan,2009,54,15,69
212,Panama,2009,1,,1
213,Papua New Guinea,2009,1,,1
214,Paraguay,2009,1,,1
215,Peru,2009,6,,6
216,Philippines,2009,5,1,6
217,Poland,2009,63,43,106
218,Portugal,2009,71,12,83
219,Romania,2009,25,18,43
220,Russia,2009,41,29,70
221,Saudi Arabia,2009,8,,8
222,Serbia,2009,11,4,15
223,Sierra Leone,2009,1,,1
224,Singapore,2009,80,139,219
225,Slovakia,2009,6,8,14
226,Slovenia,2009,5,4,9
227,Somalia,2009,,5,5
228,South Africa,2009,65,14,79
229,Spain,2009,51,27,78
230,Sri Lanka,2009,31,24,55
231,St Vincent and the Grenadines,2009,1,,1
232,Sudan,2009,6,1,7
233,Sweden,2009,26,41,67
234,Switzerland,2009,31,8,39
235,Syria,2009,4,2,6
236,Taiwan,2009,83,3,86
237,Tanzania,2009,1,,1
238,Thailand,2009,42,32,74
239,Trinidad and Tobago,2009,17,11,28
240,Turkey,2009,26,1,27
241,Uganda,2009,6,2,8
242,Ukraine,2009,17,17,34
243,United Arab Emirates,2009,2,,2
244,United States,2009,618,158,776
245,Uruguay,2009,2,1,3
246,Uzbekistan,2009,1,,1
247,Venezuela,2009,6,,6
248,Vietnam,2009,19,27,46
249,Zambia,2009,2,,2
250,Zimbabwe,2009,6,3,9
251,Afghanistan,2019,1,,1
252,Albania,2019,6,2,8
253,Algeria,2019,2,,2
254,Argentina,2019,11,,11
255,Armenia,2019,5,4,9
256,Australia,2019,220,67,287
257,Austria,2019,54,25,79
258,Azerbaijan,2019,7,,7
259,Bahrain,2019,3,1,4
260,Bangladesh,2019,17,4,21
261,Barbados,2019,1,,1
262,Belarus,2019,6,3,9
263,Belgium,2019,52,18,70
264,Bermuda,2019,1,1,2
265,Bhutan,2019,1,,1
266,Bosnia and Herzegovina,2019,3,,3
267,Botswana,2019,2,4,6
268,Brazil,2019,57,7,64
269,Brunei,2019,1,2,3
270,Bulgaria,2019,35,42,77
271,Burma,2019,5,1,6
272,Cambodia,2019,1,,1
273,Cameroon,2019,5,,5
274,Canada,2019,217,46,263
275,Cayman Islands,2019,,2,2
276,Chile,2019,41,,41
277,China,2019,830,459,1289
278,Colombia,2019,19,,19
279,Costa Rica,2019,5,,5
280,Croatia,2019,20,10,30
281,Cuba,2019,1,1,2
282,Cyprus,2019,51,73,124
283,Czech Republic,2019,34,35,69
284,Denmark,2019,53,35,88
285,Dominica,2019,1,,1
286,Ecuador,2019,12,,12
287,Egypt,2019,34,4,38
288,Estonia,2019,11,8,19
289,Ethiopia,2019,2,1,3
290,Finland,2019,37,13,50
291,France,2019,187,139,326
292,"Gambia, The",2019,1,,1
293,Georgia,2019,1,2,3
294,Germany,2019,533,167,700
295,Ghana,2019,15,2,17
296,Gibraltar,2019,2,,2
297,Greece,2019,150,45,195
298,Guatemala,2019,1,,1
299,Guernsey,2019,2,1,3
300,Guyana,2019,1,,1
301,Hong Kong (Special Administrative Region of China),2019,104,143,247
302,Hungary,2019,43,109,152
303,Iceland,2019,14,,14
304,India,2019,281,62,343
305,Indonesia,2019,30,9,39
306,Iran,2019,23,4,27
307,Iraq,2019,2,1,3
308,Ireland,2019,142,101,243
309,Isle of Man,2019,,2,2
310,Israel,2019,25,5,30
311,Italy,2019,286,92,378
312,Ivory Coast,2019,1,,1
313,Jamaica,2019,1,1,2
314,Japan,2019,68,29,97
315,Jersey,2019,1,2,3
316,Jordan,2019,6,1,7
317,Kazakhstan,2019,16,5,21
318,Kenya,2019,11,1,12
319,Korea (North),2019,1,,1
320,Korea (South),2019,65,92,157
321,Kosovo,2019,1,,1
322,Kuwait,2019,,1,1
323,Kyrgyzstan,2019,1,1,2
324,Latvia,2019,17,10,27
325,Lebanon,2019,17,1,18
326,Libya,2019,2,,2
327,Lithuania,2019,26,48,74
328,Luxembourg,2019,7,6,13
329,Macao (Special Administrative Region of China),2019,2,,2
330,Macedonia,2019,1,1,2
331,Malawi,2019,1,,1
332,Malaysia,2019,94,144,238
333,Maldives,2019,1,,1
334,Malta,2019,9,2,11
335,Mauritius,2019,3,5,8
336,Mexico,2019,68,2,70
337,Moldova,2019,1,,1
338,Mongolia,2019,3,1,4
339,Montenegro,2019,2,1,3
340,Morocco,2019,6,1,7
341,Mozambique,2019,1,,1
342,Nepal,2019,4,2,6
343,Netherlands,2019,125,53,178
344,New Zealand,2019,81,25,106
345,Niger,2019,1,,1
346,Nigeria,2019,44,18,62
347,Norway,2019,38,19,57
348,Occupied Palestinian Territories,2019,8,1,9
349,Oman,2019,3,,3
350,Pakistan,2019,44,29,73
351,Panama,2019,1,,1
352,Paraguay,2019,2,,2
353,Peru,2019,8,1,9
354,Philippines,2019,11,3,14
355,Poland,2019,111,117,228
356,Portugal,2019,68,27,95
357,Qatar,2019,3,,3
358,Romania,2019,54,103,157
359,Russia,2019,52,42,94
360,Rwanda,2019,2,,2
361,Saudi Arabia,2019,18,1,19
362,Serbia,2019,22,17,39
363,Singapore,2019,91,274,365
364,Slovakia,2019,28,23,51
365,Slovenia,2019,20,6,26
366,Somalia,2019,3,2,5
367,South Africa,2019,90,6,96
368,South Sudan,2019,1,,1
369,Spain,2019,140,69,209
370,Sri Lanka,2019,24,7,31
371,St Lucia,2019,2,,2
372,St Vincent and the Grenadines,2019,2,1,3
373,Sudan,2019,3,,3
374,Sweden,2019,47,39,86
375,Switzerland,2019,59,10,69
376,Syria,2019,10,1,11
377,Taiwan,2019,63,4,67
378,Tajikistan,2019,1,,1
379,Tanzania,2019,1,,1
380,Thailand,2019,43,34,77
381,Trinidad and Tobago,2019,8,2,10
382,Turkey,2019,28,2,30
383,Turkmenistan,2019,1,,1
384,Uganda,2019,5,,5
385,Ukraine,2019,15,4,19
386,United Arab Emirates,2019,11,2,13
387,United States,2019,844,117,961
388,Uruguay,2019,3,,3
389,Uzbekistan,2019,2,,2
390,Venezuela,2019,4,,4
391,Vietnam,2019,6,10,16
392,Yemen,2019,3,,3
393,Zambia,2019,3,,3
394,Zimbabwe,2019,12,1,13
395,Afghanistan,2014,2,,2
396,Albania,2014,,3,3
397,Algeria,2014,,1,1
398,Argentina,2014,14,,14
399,Armenia,2014,6,,6
400,Australia,2014,192,48,240
401,Austria,2014,53,33,86
402,Azerbaijan,2014,8,,8
403,Bahrain,2014,1,,1
404,Bangladesh,2014,26,2,28
405,Barbados,2014,1,,1
406,Belarus,2014,9,2,11
407,Belgium,2014,46,26,72
408,Bolivia,2014,1,,1
409,Bosnia and Herzegovina,2014,3,,3
410,Botswana,2014,,7,7
411,Brazil,2014,49,3,52
412,Brunei,2014,8,1,9
413,Bulgaria,2014,25,28,53
414,Burma,2014,,1,1
415,Cambodia,2014,,1,1
416,Cameroon,2014,1,,1
417,Canada,2014,264,46,310
418,Cayman Islands,2014,2,,2
419,Channel Islands Not Otherwise Specified,2014,1,,1
420,Chile,2014,47,,47
421,China,2014,702,317,1019
422,Colombia,2014,17,,17
423,Costa Rica,2014,2,,2
424,Croatia,2014,16,6,22
425,Cuba,2014,1,,1
426,Cyprus,2014,64,48,112
427,Czech Republic,2014,29,29,58
428,Denmark,2014,32,21,53
429,Dominica,2014,1,1,2
430,Ecuador,2014,6,,6
431,Egypt,2014,31,2,33
432,El Salvador,2014,1,,1
433,Estonia,2014,17,12,29
434,Ethiopia,2014,1,,1
435,Finland,2014,27,21,48
436,France,2014,176,101,277
437,"Gambia, The",2014,1,,1
438,Georgia,2014,2,,2
439,Germany,2014,504,207,711
440,Ghana,2014,16,1,17
441,Gibraltar,2014,,1,1
442,Greece,2014,117,29,146
443,Guatemala,2014,1,,1
444,Guernsey,2014,,2,2
445,Guyana,2014,1,,1
446,Hong Kong (Special Administrative Region of China),2014,64,64,128
447,Hungary,2014,18,50,68
448,Iceland,2014,3,3,6
449,India,2014,244,73,317
450,Indonesia,2014,14,3,17
451,Iran,2014,36,6,42
452,Iraq,2014,2,1,3
453,Ireland,2014,144,90,234
454,Israel,2014,28,4,32
455,Italy,2014,238,99,337
456,Ivory Coast,2014,,1,1
457,Jamaica,2014,3,1,4
458,Japan,2014,61,25,86
459,Jersey,2014,1,1,2
460,Jordan,2014,8,2,10
461,Kazakhstan,2014,14,4,18
462,Kenya,2014,15,6,21
463,Korea (South),2014,69,43,112
464,Kuwait,2014,1,,1
465,Kyrgyzstan,2014,4,,4
466,Latvia,2014,7,11,18
467,Lebanon,2014,10,1,11
468,Liechtenstein,2014,1,,1
469,Lithuania,2014,29,48,77
470,Luxembourg,2014,4,4,8
471,Macedonia,2014,3,,3
472,Madagascar,2014,2,,2
473,Malawi,2014,,1,1
474,Malaysia,2014,93,111,204
475,Maldives,2014,1,1,2
476,Mali,2014,1,,1
477,Malta,2014,11,2,13
478,Mauritius,2014,5,8,13
479,Mexico,2014,57,2,59
480,Moldova,2014,2,1,3
481,Mongolia,2014,1,,1
482,Montenegro,2014,2,1,3
483,Morocco,2014,1,1,2
484,Mozambique,2014,1,,1
485,Nepal,2014,4,3,7
486,Netherlands,2014,123,51,174
487,New Zealand,2014,76,24,100
488,Nigeria,2014,37,14,51
489,Norway,2014,24,13,37
490,Occupied Palestinian Territories,2014,8,1,9
491,Oman,2014,3,,3
492,Pakistan,2014,55,13,68
493,Panama,2014,2,,2
494,Peru,2014,8,1,9
495,Philippines,2014,12,2,14
496,Poland,2014,118,81,199
497,Portugal,2014,71,10,81
498,Qatar,2014,3,,3
499,Romania,2014,46,74,120
500,Russia,2014,52,22,74
501,Rwanda,2014,1,,1
502,Saudi Arabia,2014,15,1,16
503,Senegal,2014,1,,1
504,Serbia,2014,21,17,38
505,Singapore,2014,104,194,298
506,Slovakia,2014,18,19,37
507,Slovenia,2014,10,12,22
508,Somalia,2014,1,2,3
509,South Africa,2014,70,8,78
510,South Sudan,2014,1,,1
511,Spain,2014,95,49,144
512,Sri Lanka,2014,23,14,37
513,Sudan,2014,2,,2
514,Sweden,2014,42,47,89
515,Switzerland,2014,39,14,53
516,Syria,2014,5,,5
517,Taiwan,2014,68,1,69
518,Tajikistan,2014,1,,1
519,Tanzania,2014,2,1,3
520,Thailand,2014,61,40,101
521,Trinidad and Tobago,2014,17,3,20
522,Tunisia,2014,1,1,2
523,Turkey,2014,41,5,46
524,Uganda,2014,11,,11
525,Ukraine,2014,24,5,29
526,United Arab Emirates,2014,2,,2
527,United States,2014,738,83,821
528,Uruguay,2014,4,,4
529,Uzbekistan,2014,2,,2
530,Venezuela,2014,2,,2
531,Vietnam,2014,15,14,29
532,Yemen,2014,,1,1
533,Zambia,2014,2,1,3
534,Zimbabwe,2014,5,3,8
535,Afghanistan,2021,1,1,2
536,Albania,2021,4,2,6
537,Andorra,2021,,1,1
538,Angola,2021,1,,1
539,Argentina,2021,7,,7
540,Armenia,2021,6,5,11
541,Australia,2021,176,48,224
542,Austria,2021,66,25,91
543,Azerbaijan,2021,4,1,5
544,Bahrain,2021,1,1,2
545,Bangladesh,2021,19,5,24
546,Barbados,2021,1,1,2
547,Belarus,2021,6,2,8
548,Belgium,2021,54,24,78
549,Bhutan,2021,1,,1
550,Bolivia,2021,3,,3
551,Bosnia and Herzegovina,2021,3,,3
552,Botswana,2021,2,1,3
553,Brazil,2021,29,3,32
554,Brunei,2021,1,,1
555,Bulgaria,2021,43,41,84
556,Burma,2021,1,,1
557,Cambodia,2021,1,,1
558,Cameroon,2021,4,,4
559,Canada,2021,222,33,255
560,Chile,2021,27,,27
561,China,2021,1101,609,1710
562,Colombia,2021,18,1,19
563,Congo (Democratic Republic),2021,2,,2
564,Costa Rica,2021,1,,1
565,Croatia,2021,28,18,46
566,Cuba,2021,1,1,2
567,Cyprus,2021,54,69,123
568,Czech Republic,2021,32,34,66
569,Denmark,2021,46,42,88
570,Dominica,2021,1,,1
571,Ecuador,2021,6,,6
572,Egypt,2021,34,4,38
573,Estonia,2021,10,13,23
574,Ethiopia,2021,2,,2
575,Finland,2021,21,12,33
576,France,2021,222,123,345
577,"Gambia, The",2021,3,,3
578,Georgia,2021,3,2,5
579,Germany,2021,584,127,711
580,Ghana,2021,19,2,21
581,Gibraltar,2021,3,,3
582,Greece,2021,157,49,206
583,Guatemala,2021,2,,2
584,Guernsey,2021,1,1,2
585,Guyana,2021,1,,1
586,Hong Kong (Special Administrative Region of China),2021,88,162,250
587,Hungary,2021,54,111,165
588,Iceland,2021,6,,6
589,India,2021,303,86,389
590,Indonesia,2021,45,6,51
591,Iran,2021,20,2,22
592,Iraq,2021,,2,2
593,Ireland,2021,175,88,263
594,Isle of Man,2021,,3,3
595,Israel,2021,21,3,24
596,Italy,2021,302,94,396
597,Ivory Coast,2021,1,,1
598,Jamaica,2021,1,1,2
599,Japan,2021,61,36,97
600,Jersey,2021,,1,1
601,Jordan,2021,10,2,12
602,Kazakhstan,2021,9,3,12
603,Kenya,2021,20,2,22
604,Korea (South),2021,74,76,150
605,Kuwait,2021,1,,1
606,Kyrgyzstan,2021,2,,2
607,Latvia,2021,12,13,25
608,Lebanon,2021,14,1,15
609,Lithuania,2021,41,45,86
610,Luxembourg,2021,9,5,14
611,Macao (Special Administrative Region of China),2021,2,,2
612,Macedonia,2021,1,,1
613,Malawi,2021,1,,1
614,Malaysia,2021,78,134,212
615,Malta,2021,5,3,8
616,Mauritius,2021,4,3,7
617,Mexico,2021,61,,61
618,Mongolia,2021,1,1,2
619,Morocco,2021,4,2,6
620,Mozambique,2021,1,,1
621,Nepal,2021,7,2,9
622,Netherlands,2021,142,57,199
623,New Zealand,2021,55,18,73
624,Nigeria,2021,49,16,65
625,Norway,2021,43,14,57
626,Occupied Palestinian Territories,2021,7,1,8
627,Oman,2021,2,,2
628,Pakistan,2021,44,24,68
629,Panama,2021,2,,2
630,Paraguay,2021,3,1,4
631,Peru,2021,9,2,11
632,Philippines,2021,14,2,16
633,Poland,2021,129,159,288
634,Portugal,2021,64,33,97
635,Puerto Rico,2021,1,,1
636,Qatar,2021,5,,5
637,Romania,2021,72,81,153
638,Russia,2021,55,25,80
639,Rwanda,2021,1,,1
640,Saudi Arabia,2021,18,2,20
641,Serbia,2021,15,16,31
642,Singapore,2021,87,264,351
643,Slovakia,2021,27,26,53
644,Slovenia,2021,16,9,25
645,Somalia,2021,2,2,4
646,South Africa,2021,49,3,52
647,Spain,2021,169,57,226
648,Sri Lanka,2021,16,7,23
649,St Kitts and Nevis,2021,,1,1
650,St Lucia,2021,1,,1
651,St Vincent and the Grenadines,2021,2,,2
652,Sudan,2021,4,1,5
653,Sweden,2021,42,42,84
654,Switzerland,2021,40,9,49
655,Syria,2021,13,2,15
